Region,InstanceCode,Price
us-east-1,m1.xlarge,0.35
us-east-1,m2.2xlarge,0.49
us-east-1,m2.4xlarge,0.98
us-east-1,m2.xlarge,0.245
us-east-1,m3.2xlarge,0.56
us-east-1,m3.large,0.14
us-east-1,m3.medium,0.07
us-east-1,m3.xlarge,0.28
us-east-1,r3.2xlarge,0.7
us-east-1,r3.4xlarge,1.4
us-east-1,r3.8xlarge,2.8
us-east-1,r3.large,0.175
us-east-1,r3.xlarge,0.35
us-east-1,t1.micro,0.02
us-west-1,c1.medium,0.148
us-west-1,c1.xlarge,0.592
us-west-1,c3.2xlarge,0.478
us-west-1,c3.4xlarge,0.956
us-west-1,c3.8xlarge,1.912
us-west-1,c3.large,0.12
us-west-1,c3.xlarge,0.239
us-west-1,g2.2xlarge,0.702
us-west-1,m1.large,0.19
us-west-1,m1.medium,0.095
us-west-1,m1.small,0.047
us-west-1,m1.xlarge,0.379
us-west-1,m2.2xlarge,0.55
us-west-1,m2.4xlarge,1.1
us-west-1,m2.xlarge,0.275
us-west-1,m3.2xlarge,0.616
us-west-1,m3.large,0.154
us-west-1,m3.medium,0.077
us-west-1,m3.xlarge,0.308
us-west-1,r3.2xlarge,0.78
us-west-1,r3.4xlarge,1.56
us-west-1,r3.8xlarge,3.12
us-west-1,r3.large,0.195
us-west-1,r3.xlarge,0.39
us-west-1,t1.micro,0.025
us-west-2,c1.medium,0.13
us-west-2,c1.xlarge,0.52
us-west-2,c3.2xlarge,0.42
us-west-2,c3.4xlarge,0.84
us-west-2,c3.8xlarge,1.68
us-west-2,c3.large,0.105
us-west-2,c3.xlarge,0.21
us-west-2,cc2.8xlarge,2
us-west-2,cr1.8xlarge,3.5
us-west-2,g2.2xlarge,0.65
us-west-2,hi1.4xlarge,3.1
us-west-2,m1.large,0.175
us-west-2,m1.medium,0.087
us-west-2,m1.small,0.044
us-west-2,m1.xlarge,0.35
us-west-2,m2.2xlarge,0.49
us-west-2,m2.4xlarge,0.98
us-west-2,m2.xlarge,0.245
us-west-2,m3.2xlarge,0.56
us-west-2,m3.large,0.14
us-west-2,m3.medium,0.07
us-west-2,m3.xlarge,0.28
us-west-2,r3.2xlarge,0.7
us-west-2,r3.4xlarge,1.4
us-west-2,r3.8xlarge,2.8
us-west-2,r3.large,0.175
us-west-2,r3.xlarge,0.35
us-west-2,t1.micro,0.02
